Zone_Name,Ward_Name,Waste Recyled (%),Rank
RR_NAGAR,R.R.NAGAR,80.71394188,1
MAHADEVPURA,Bellanduru,80.68491548,2
RR_NAGAR,ULLALU,80.3107435,3
MAHADEVPURA,Dodda_nekkundi,80.14658332,4
RR_NAGAR,KENGERI,80.02269732,5
RR_NAGAR,HEROHALLI,79.53815846,6
RR_NAGAR,Doddabidirakallu,79.53691005,7
BOMMANAHALLI,BEGUR,79.00792934,8
MAHADEVPURA,Marathahalli,78.99779769,9
MAHADEVPURA,Vignananagara,78.96838224,10
RR_NAGAR,HEMMIGEPURA,78.85029945,11
MAHADEVPURA,GARUDACHARPALYA,78.77657904,12
RR_NAGAR,Jnanabharathi,78.43881276,13
BOMMANAHALLI,VASANTHPURA,78.42655625,14
YALAHANKA,BYATRAYANAPURA,78.3959111,15
DASARAHALLI,Bagalagunte,78.39322318,16
MAHADEVPURA,HAGADUR,78.37912593,17
RR_NAGAR,Kottigepalya,78.36684343,18
YALAHANKA,THANISANDRA,78.21477388,19
DASARAHALLI,RAJAGOPALANAGARA,78.1915087,20
MAHADEVPURA,BASAVANAPURA,78.17538932,21
BOMMANAHALLI,SINGA_SANDRA,78.17273193,22
BOMMANAHALLI,HONGASANDRA,78.15473787,23
DASARAHALLI,HEGGANAHALLI,78.10468313,24
DASARAHALLI,CHOKKASANDRA,78.00970092,25
YALAHANKA,ATTURU,77.93010609,26
DASARAHALLI,PEENYA_INDL_AREA,77.85176912,27
DASARAHALLI,SHETTYHALLI,77.82656327,28
MAHADEVPURA,Kadugodi,77.75634501,29
WEST,GANDHINAGAR,77.59187829,30
RR_NAGAR,Laggere,77.51461914,31
BOMMANAHALLI,UTTARAHALLI,77.44497906,32
EAST,CV_RAMANNAGAR,77.38956711,33
YALAHANKA,VIDYARANYAPURA,77.33273942,34
BOMMANAHALLI,MANGAMMA_PALYA,77.2364268,35
SOUTH,BTM_LAYOUT,77.21464921,36
BOMMANAHALLI,KONANKUNTE,77.05463221,37
EAST,NAGAWARA,76.98961646,38
WEST,BASAVESHWARA_NAGAR,76.98226313,39
WEST,KAVERIPURA,76.91859542,40
